Dataset,FileName,Model,EmbK,TotEpoch,LearnRate,Epsilon,Alpha,Epoch,Top-K,Coverage,Coverage[%],Precision,Recall,MAR,nDCG,Novelty,ARP,APLT,ACLT,P_Pop,P_Tail,RSP,PC_Pop,PC_Tail,REO
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_250_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,250.0,50.0,1327.0,5.15,0.0015422362425517,0.077111812127585,0.004310602225078215,0.02025594934821129,6.211114421672082,435.35031896249603,0.007442458231101762,0.3721229115550882,0.009595410919305719,1.8036090108713905e-05,0.996247737135067,0.13175902321212934,0.0015022063655994742,0.9774547125167675
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_150_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,150.0,50.0,1098.0,4.26,0.0014900494606067685,0.07450247303033844,0.0035159314339125065,0.01889304630458355,6.123245380639153,455.2702511975738,0.0035479222650621166,0.1773961132531059,0.00963306079990364,8.59805237521631e-06,0.9982164786149462,0.12786797262847174,0.00065721528494977,0.9897729729772113
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_675_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,675.0,50.0,1915.0,7.43,0.0016084433539743739,0.0804221676987187,0.007493751742495754,0.023118620738387108,6.419479766498378,391.70388986252397,0.012533395645908812,0.6266697822954395,0.009546194995388115,3.0373493033941963e-05,0.9936567063514111,0.13665637998121563,0.00262886113979908,0.9622521220677637
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_500_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,500.0,50.0,1718.0,6.66,0.001596759746076255,0.07983798730381275,0.007018680172670125,0.022603148594498634,6.354072484292942,404.38638703898596,0.011258324570627415,0.5629162285313705,0.009558521566295875,2.728347947999485e-05,0.9943075246471827,0.13565007379578692,0.00262886113979908,0.9619774170082569
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_550_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,550.0,50.0,1795.0,6.96,0.0016045488180083342,0.08022744090041671,0.0071864079458424605,0.022808585315942764,6.374591008448693,400.38381820306336,0.011851851851851865,0.5925925925925926,0.009552783724492751,2.8721836430579883e-05,0.994004734172943,0.1363880316651013,0.002534973241949113,0.9635053496914322
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_450_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,450.0,50.0,1656.0,6.42,0.0015889706741441757,0.07944853370720878,0.006575398525392683,0.022300653159618378,6.330827194793561,409.15741324921174,0.010934299178252919,0.5467149589126455,0.009561654036361621,2.649823474056785e-05,0.9944727129917554,0.13497920300550115,0.00262886113979908,0.9617920482185803
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_900_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,900.0,50.0,2194.0,8.51,0.001631031662577404,0.08155158312887019,0.00769275943945882,0.023482730612158775,6.479279012776082,380.78471706196075,0.013718113486778068,0.6859056743389025,0.009534741901710228,3.324454411247193e-05,0.9930508797643653,0.138668992352073,0.002534973241949113,0.9640948718219791
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_125_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,125.0,50.0,1017.0,3.95,0.0014674611520037388,0.07337305760018693,0.003310788297352148,0.01843489520251751,6.096735613773144,460.8771780192395,0.0022261167581882606,0.11130583790941309,0.009645839169378575,5.394782368467226e-06,0.9988820533425178,0.1261237085737287,0.00037555159139986854,0.9940623907063229
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_975_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,975.0,50.0,2291.0,8.89,0.0016466098064415625,0.08233049032207812,0.00785282177676149,0.0237825196236372,6.496639224615574,377.611119679088,0.013827939401020388,0.6913969700510184,0.009533680175077367,3.351069677655657e-05,0.9929946632767318,0.139943646853616,0.00262886113979908,0.9631224676229938
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_300_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,300.0,50.0,1407.0,5.46,0.001561708922381898,0.0780854461190949,0.004931224349380676,0.021015115082263947,6.244377012268796,427.75267282003296,0.008781399696226194,0.4390699848113097,0.009582466890356153,2.128088748149038e-05,0.9955682119160605,0.13303367771367236,0.002065533752699277,0.9694219717453582
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_700_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,700.0,50.0,1942.0,7.53,0.001610780075553998,0.08053900377769989,0.007663921327900764,0.02327733486890793,6.4266867740616975,390.42706390933597,0.012668146590333773,0.6334073295166881,0.009544892309519427,3.070004913952098e-05,0.9935878537870798,0.13685764121830135,0.00262886113979908,0.9623065874424169
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_1475_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,1475.0,50.0,2880.0,11.17,0.0016847762589087512,0.08423881294543756,0.008245474456480415,0.02454221248626709,6.587482885906299,362.09154028897444,0.016579818514624117,0.8289909257311991,0.009507076769446876,4.017961423904597e-05,0.9915830029855061,0.1428283912518449,0.003192188526898883,0.9562775530444295
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_1225_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,1225.0,50.0,2589.0,10.04,0.0016505043424076022,0.0825252171203801,0.008058583093633918,0.02403104119002819,6.545839739637938,369.04312887019586,0.015224519998442244,0.7612259999221093,0.009520178927894953,3.68951771077888e-05,0.9922789806372903,0.139943646853616,0.0030983006290489154,0.9566798315658502
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_1000_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,1000.0,50.0,2330.0,9.04,0.0016434941776687305,0.08217470888343655,0.007842003621300268,0.023744061589241028,6.502482283890062,376.5718721034377,0.013961911438252149,0.6980955719126066,0.009532385019184799,3.383536527458888e-05,0.9929260744756507,0.13954112437944452,0.002816636935499014,0.9604287548570302
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_775_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,775.0,50.0,2050.0,7.95,0.0016107800755539978,0.08053900377769989,0.007638282299457669,0.023267656564712524,6.4479901683541465,386.42328543054185,0.013069283794835847,0.6534641897417922,0.00954101437181784,3.1672167026071235e-05,0.9933828049424679,0.13679055413927277,0.002722749037649047,0.9609678937327398
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_1200_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,1200.0,50.0,2549.0,9.89,0.0016473887136347703,0.08236943568173852,0.008070328519563243,0.023992057889699936,6.540953905676499,369.8906710285459,0.01510846282665425,0.7554231413327102,0.00952130089433677,3.661392358333057e-05,0.9923385122632222,0.13980947269555882,0.0029105248333489812,0.9592134965843249
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_725_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,725.0,50.0,1976.0,7.67,0.0016193480546792848,0.08096740273396424,0.007654602259696312,0.02334398217499256,6.4343043315117905,388.9861409043118,0.012799781905985923,0.639989095299295,0.009543619743555217,3.10190548149132e-05,0.9935205796337312,0.13759559908761573,0.00262886113979908,0.9625049561890185
